Threat Id,,,,Latitude,Longitude,Altitude,Latitude(Predicted),Longitude(Predicted),Altitude(Predicted)
3784,,,,42.491577960651355,-71.31192885,1263,42.493809422036925,-71.30842095,1370
3786,,,,42.414375019127462,-71.35194325,10382,42.419017564534087,-71.34438618,10327
3726,,,,42.770994361324121,-71.98679128,5065,42.77472456943449,-71.9837295,5027
3794,,,,42.28726167,-71.33634285,3855,42.285045173320029,-71.33976306,3657
3797,,,,42.321132397305568,-71.24789508,4228,42.319187022853569,-71.25220163,4244
3606,,,,42.79855259,-71.42410382,5555,42.799461033203293,-71.43074451,5534
3743,,,,42.595311333632409,-71.59918515,572,42.595403563868288,-71.5992472,596
3618,,,,42.547116510727022,-71.50541764,3979,42.547520167701812,-71.50470973,4001
3747,,,,42.506827583182215,-71.36499658,1924,42.508307169371847,-71.36206224,2123
3749,,,,42.447868191558285,-70.93362623,4518,42.448119708739853,-70.92940539,4967
3753,,,,42.268331240724734,-71.46274022,4899,42.26715117,-71.46650544,4869
1006,,,,42.584633039636358,-71.62783705,567,42.584571389977143,-71.62762947,566
3633,,,,42.833229363291096,-71.76261812,6395,42.834053638821096,-71.76779624,6437
3766,,,,42.446891882097894,-70.78063828,7008,42.452601832661188,-70.77215263,7063
3704,,,,,,,,,
3641,,,,42.66885062443621,-71.42153426,1471,42.67010150411879,-71.42139931,1518
3707,,,,42.570279414091537,-71.37973373,1797,42.572145853141947,-71.37981316,1836
3709,,,,42.5999715,-71.45751435,1416,42.599591185625613,-71.45586856,1469
3784,,,,42.493016788009726,-71.31058537,1254,42.495675367646122,-71.3068762,1350
3786,,,,42.421024411792352,-71.34261418,10508,42.426075798017727,-71.33492739,10539
3726,,,,42.77202092611963,-71.98573797,5154,42.775855279244276,-71.98256165,5142
3794,,,,42.28726167,-71.33634285,3855,42.285045173320029,-71.33976306,3657
3797,,,,42.321132397305568,-71.24789508,4228,42.319187022853569,-71.25220163,4244
3606,,,,42.799704566193547,-71.43145195,5298,42.800493436532811,-71.43761845,5210
3743,,,,42.595258601754466,-71.59904327,574,42.595350832247391,-71.59910531,597
3618,,,,42.546675251977796,-71.50560496,4004,42.546637395551031,-71.50485452,3982
3747,,,,42.506827583182215,-71.36499658,1924,42.508307169371847,-71.36206224,2123
3749,,,,42.447868191558285,-70.93362623,4518,42.448119708739853,-70.92940539,4967
3753,,,,42.267486383090223,-71.46567528,4856,42.26601355,-71.47065957,4820
1006,,,,42.584647261266852,-71.62771352,568,42.584570357186848,-71.62735747,565
