ThreatId,SourceSystem,ThreatName,Priority,Description,Affiliation,Location,Location.Latitude,Location.Longitude,Location.Altitude,PredictedLocation,PredictedLocation.Latitude,PredictedLocation.Longitude,PredictedLocation.Altitude,DetectionTime,IsEndThreat,Heading,Heading.Type,Heading.Polar,Heading.Vector,Heading.DataCase,Speed,Eta,GroupId,SignalConfidence,SourceTypes,SourceTypes.IsNinjaThreat,SourceTypes.IsCoyoteInterceptorThreat,SourceTypes.IsCoyoteTargetThreat,OverallClassType,Ninja,SymbolCode,Tracks.TrackId,Tracks.Timestamp,Tracks.SourceSystem,Tracks.SourceDevice,Tracks.SymbolCode,Tracks.Affiliation,Tracks.TrackType,Tracks.IsBegin,Tracks.IsEnd,Tracks.Spatial,Tracks.Spatial.Position,Tracks.Spatial.Position.Lla,Tracks.Spatial.Position.Ecef,Tracks.Spatial.Position.Ecef.X,Tracks.Spatial.Position.Ecef.Y,Tracks.Spatial.Position.Ecef.Z,Tracks.Spatial.Position.DataCase,Tracks.Spatial.Velocity,Tracks.Spatial.Velocity.X,Tracks.Spatial.Velocity.Y,Tracks.Spatial.Velocity.Z,Tracks.Spatial.PositionCovariance,Tracks.Lob,Tracks.Lob.Azimuth,Tracks.Lob.Elevation,Tracks.Lob.AzimuthError,Tracks.Lob.ElevationError,Tracks.Lob.MinRange,Tracks.Lob.MaxRange,Tracks.Lob.OriginPosition,Tracks.Ballistics,Tracks.Ballistics.IsFinal,Tracks.Ballistics.Impact,Tracks.Ballistics.Origin,Tracks.Classification,Tracks.Classification.Type,Tracks.Classification.IsManMade,Tracks.Classification.Confidence,Discriminations.Confidence,Discriminations.Feature,Tracks.Acoustic,Tracks.Acoustic.SignalType,Tracks.Acoustic.SignalConfidence,Tracks.Acoustic.AbsoluteAmplitude,Tracks.Acoustic.RelativeAmplitude,Tracks.Acoustic.Frequency,Tracks.Acoustic.FundamentalFrequency,Tracks.Rf,Tracks.Rf.SignalType,Tracks.Rf.Approaching,Tracks.Rf.Bandwidth,Tracks.Rf.ChannelCount,Tracks.Rf.Density,Tracks.Rf.DetectionCount,Tracks.Rf.Frequency,Tracks.Rf.GroupId,Tracks.Rf.MacAddress,Tracks.Rf.NoiseStrength,Tracks.Rf.PulseWidth,Tracks.Rf.Pri,Tracks.Rf.SignalConfidence,Tracks.Rf.SignalStrength,Tracks.Rf.Video,Tracks.Feature,Tracks.Feature.Countermeasures,Tracks.Feature.Coyote,Tracks.Feature.Importance,Tracks.Feature.DataCase,Ninja.MacAddress,Ninja.OverallSignalType,Ninja.DroneModel,Tracks.Lob.OriginPosition.Lla,Tracks.Lob.OriginPosition.Lla.Latitude,Tracks.Lob.OriginPosition.Lla.Longitude,Tracks.Lob.OriginPosition.Lla.Altitude,Tracks.Lob.OriginPosition.Ecef,Tracks.Lob.OriginPosition.DataCase,Tracks.Feature.Importance.Importance,Countermeasures.DeviceId,Countermeasures.Countermeasure,Countermeasures.State,Tracks.Feature.Countermeasures.DroneModel,Countermeasures.DroneModel
2001,"","DON 2001",0,,5,,42.58621955585043,-71.602,200.0,,42.58621955585043,-71.602,200.0,0,false,,0,0,,2,26.8224,,,0.5,,true,false,false,0,true,,1000,0,"Ninja 1","Ninja 1",,0,0,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500,"","DON 2500",0,,1,,42.57446499967466,-71.62683645241674,99.15254237288136,,42.57446499967466,-71.62683645241674,99.15254237288136,0,false,,0,90,,2,22.5,,,0.5,,true,false,false,0,true,,1000,0,"Ninja 1","Ninja 1",,0,0,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,"","DON 3000",0,,1,,42.57717440650699,-71.59881855693948,53.333333333333336,,42.57717440650699,-71.59881855693948,53.333333333333336,0,false,,0,157,,2,23.5,,,0.5,,true,false,false,0,true,,1000,0,"Ninja1","Ninja1",,0,0,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,"","DON 2002",0,,5,,42.58165041686414,-71.613,200.0,,42.58165041686414,-71.613,200.0,0,false,,0,0,,2,17.88,,,0.5,,false,false,false,0,false,,1000,0,"Disco-2","Disco-2",,0,0,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,"","DON 2001",0,,5,,42.58645911170088,-71.602,200.0,,42.58645911170088,-71.602,200.0,0,false,,0,0,,2,26.8224,,,0.5,,true,false,false,0,true,,1000,0,"Ninja 1","Ninja 1",,0,0,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500,"","DON 2500",0,,1,,42.57446499934934,-71.62656290483348,98.30508474576271,,42.57446499934934,-71.62656290483348,98.30508474576271,0,false,,0,90,,2,22.5,,,0.5,,true,false,false,0,true,,1000,0,"Ninja 1","Ninja 1",,0,0,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,"","DON 3000",0,,1,,42.576982813013984,-71.5987081142183,56.66666666666667,,42.576982813013984,-71.5987081142183,56.66666666666667,0,false,,0,157,,2,23.5,,,0.5,,true,false,false,0,true,,1000,0,"Ninja1","Ninja1",,0,0,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,"","DON 2002",0,,5,,42.581810833728284,-71.613,200.0,,42.581810833728284,-71.613,200.0,0,false,,0,0,,2,17.88,,,0.5,,false,false,false,0,false,,1000,0,"Disco-2","Disco-2",,0,0,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,"","DON 2001",0,,5,,42.58669866755133,-71.602,200.0,,42.58669866755133,-71.602,200.0,0,false,,0,0,,2,26.8224,,,0.5,,true,false,false,0,true,,1000,0,"Ninja 1","Ninja 1",,0,0,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500,"","DON 2500",0,,1,,42.57446499902401,-71.6262893572502,97.45762711864407,,42.57446499902401,-71.6262893572502,97.45762711864407,0,false,,0,90,,2,22.5,,,0.5,,true,false,false,0,true,,1000,0,"Ninja 1","Ninja 1",,0,0,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,"","DON 3000",0,,1,,42.576791219520985,-71.59859767183644,60.00000000000001,,42.576791219520985,-71.59859767183644,60.00000000000001,0,false,,0,157,,2,23.5,,,0.5,,true,false,false,0,true,,1000,0,"Ninja1","Ninja1",,0,0,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
