ThreatId,Altitude,Time
2001,200.0,000000000000
2500,99.15254237288136,000000000010
3000,53.333333333333336,000000000015
2002,200.0,000005000000
2001,200.0,000010000000
2500,98.30508474576271,000010000010
3000,56.66666666666667,000010000015
2002,200.0,000015000000
2001,200.0,000020000000
2500,97.45762711864407,000020000010
3000,60.00000000000001,000020000015
2002,200.0,000025000000
2001,200.0,000030000000
2500,96.61016949152543,000030000010
3000,63.33333333333334,000030000015
2002,200.0,000035000000
2001,200.0,000040000000
2500,95.76271186440678,000040000010
3000,66.66666666666667,000040000015
2002,200.0,000045000000
2001,200.0,000050000000
2500,94.91525423728814,000050000010
3000,70.0,000050000015
2002,200.0,000055000000
2001,200.0,000060000000
2500,94.0677966101695,000060000010
3000,73.33333333333333,000060000015
2002,200.0,000065000000
2001,200.0,000070000000
2500,93.22033898305085,000070000010
3000,76.66666666666666,000070000015
2002,200.0,000075000000
2001,200.0,000080000000
2500,92.37288135593221,000080000010
3000,79.99999999999999,000080000015
2002,200.0,000085000000
2001,200.0,000090000000
2500,91.52542372881356,000090000010
3000,83.33333333333331,000090000015
2002,200.0,000095000000
2001,200.0,000100000000
2500,90.67796610169492,000100000010
3000,86.66666666666664,000100000015
2002,200.0,000105000000
2001,200.0,000110000000
2500,89.83050847457628,000110000010
3000,89.99999999999997,000110000015
2002,200.0,000115000000
2001,200.0,000120000000
2500,88.98305084745763,000120000010
3000,93.3333333333333,000120000015
2002,200.0,000125000000
2001,200.0,000130000000
2500,88.13559322033899,000130000010
3000,96.66666666666663,000130000015
2002,200.0,000135000000
2001,200.0,000140000000
2500,87.28813559322035,000140000010
3000,99.99999999999996,000140000015
2002,200.0,000145000000
2001,200.0,000150000000
2500,86.4406779661017,000150000010
3000,102.26666666666662,000150000015
2002,200.0,000155000000
2001,200.0,000160000000
2500,85.59322033898306,000160000010
3000,104.53333333333329,000160000015
2002,200.0,000165000000
2001,200.0,000170000000
2500,84.74576271186442,000170000010
3000,106.79999999999995,000170000015
2002,200.0,000175000000
2001,200.0,000180000000
2500,83.89830508474577,000180000010
3000,109.06666666666662,000180000015
2002,200.0,000185000000
2001,200.0,000190000000
2500,83.05084745762713,000190000010
3000,111.33333333333329,000190000015
2002,200.0,000195000000
2001,200.0,000200000000
2500,82.20338983050848,000200000010
3000,113.59999999999995,000200000015
2002,200.0,000205000000
2001,200.0,000210000000
2500,81.35593220338984,000210000010
3000,115.86666666666662,000210000015
2002,200.0,000215000000
2001,200.0,000220000000
2500,80.5084745762712,000220000010
3000,118.13333333333328,000220000015
2002,200.0,000225000000
2001,200.0,000230000000
2500,79.66101694915255,000230000010
3000,120.39999999999995,000230000015
2002,200.0,000235000000
2001,200.0,000240000000
2500,78.81355932203391,000240000010
3000,122.66666666666661,000240000015
2002,200.0,000245000000
2001,200.0,000250000000
2500,77.96610169491527,000250000010
3000,124.93333333333328,000250000015
2002,200.0,000255000000
2001,200.0,000260000000
2500,77.11864406779662,000260000010
3000,127.19999999999995,000260000015
2002,200.0,000265000000
2001,200.0,000270000000
2500,76.27118644067798,000270000010
3000,129.4666666666666,000270000015
2002,200.0,000275000000
2001,200.0,000280000000
2500,75.42372881355934,000280000010
3000,131.7333333333333,000280000015
2002,200.0,000285000000
2001,200.0,000290000000
2500,74.57627118644069,000290000010
3000,133.99999999999997,000290000015
2002,200.0,000295000000
2001,200.0,000300000000
2500,73.72881355932205,000300000010
3000,131.73333333333332,000300000015
2002,200.0,000305000000
2001,200.0,000310000000
2500,72.8813559322034,000310000010
3000,129.46666666666667,000310000015
2002,200.0,000315000000
2001,200.0,000320000000
2500,72.03389830508476,000320000010
3000,127.2,000320000015
2002,200.0,000325000000
2001,200.0,000330000000
2500,71.18644067796612,000330000010
3000,124.93333333333334,000330000015
2002,200.0,000335000000
2001,200.0,000340000000
2500,70.33898305084747,000340000010
3000,122.66666666666667,000340000015
2002,200.0,000345000000
2001,200.0,000350000000
2500,69.49152542372883,000350000010
3000,120.4,000350000015
2002,200.0,000355000000
2001,200.0,000360000000
2500,68.64406779661019,000360000010
3000,118.13333333333334,000360000015
2002,200.0,000365000000
2001,200.0,000370000000
2500,67.79661016949154,000370000010
3000,115.86666666666667,000370000015
2002,200.0,000375000000
2001,200.0,000380000000
2500,66.9491525423729,000380000010
3000,113.60000000000001,000380000015
2002,200.0,000385000000
2001,200.0,000390000000
2500,66.10169491525426,000390000010
3000,111.33333333333334,000390000015
2002,200.0,000395000000
2001,200.0,000400000000
2500,65.25423728813561,000400000010
3000,109.06666666666668,000400000015
2002,200.0,000405000000
2001,200.0,000410000000
2500,64.40677966101697,000410000010
3000,106.80000000000001,000410000015
2002,200.0,000415000000
2001,200.0,000420000000
2500,63.559322033898326,000420000010
3000,104.53333333333335,000420000015
2002,200.0,000425000000
2001,200.0,000430000000
2500,62.71186440677968,000430000010
3000,102.26666666666668,000430000015
2002,200.0,000435000000
2001,200.0,000440000000
2500,61.86440677966104,000440000010
3000,100.00000000000001,000440000015
2002,200.0,000445000000
2001,200.0,000450000000
2500,61.016949152542395,000450000010
3000,102.26666666666668,000450000015
2002,200.0,000455000000
2001,200.0,000460000000
2500,60.16949152542375,000460000010
3000,104.53333333333335,000460000015
2002,200.0,000465000000
2001,200.0,000470000000
2500,59.32203389830511,000470000010
3000,106.80000000000001,000470000015
2002,200.0,000475000000
2001,200.0,000480000000
2500,58.474576271186464,000480000010
3000,109.06666666666668,000480000015
2002,200.0,000485000000
2001,200.0,000490000000
2500,57.62711864406782,000490000010
3000,111.33333333333334,000490000015
2002,200.0,000495000000
2001,200.0,000500000000
2500,56.77966101694918,000500000010
3000,113.60000000000001,000500000015
2002,200.0,000505000000
2001,200.0,000510000000
2500,55.93220338983053,000510000010
3000,115.86666666666667,000510000015
2002,200.0,000515000000
2001,200.0,000520000000
2500,55.08474576271189,000520000010
3000,118.13333333333334,000520000015
2002,200.0,000525000000
2001,200.0,000530000000
2500,54.237288135593246,000530000010
3000,120.4,000530000015
2002,200.0,000535000000
2001,200.0,000540000000
2500,53.3898305084746,000540000010
3000,122.66666666666667,000540000015
2002,200.0,000545000000
2001,200.0,000550000000
2500,52.54237288135596,000550000010
3000,124.93333333333334,000550000015
2002,200.0,000555000000
2001,200.0,000560000000
2500,51.694915254237316,000560000010
3000,127.2,000560000015
2002,200.0,000565000000
2001,200.0,000570000000
2500,50.84745762711867,000570000010
3000,129.46666666666667,000570000015
2002,200.0,000575000000
2001,200.0,000580000000
2500,50.00000000000003,000580000010
3000,131.73333333333335,000580000015
2002,200.0,000585000000
2001,200.0,000590000000
2500,51.33333333333336,000590000010
3000,130.41111111111113,000590000015
2002,200.0,000595000000
2001,200.0,000600000000
2500,52.666666666666686,000600000010
3000,129.0888888888889,000600000015
2002,200.0,000605000000
2001,200.0,000610000000
2500,54.000000000000014,000610000010
3000,127.76666666666668,000610000015
2002,200.0,000615000000
2001,200.0,000620000000
2500,55.33333333333334,000620000010
3000,126.44444444444446,000620000015
2002,200.0,000625000000
2001,200.0,000630000000
2500,56.66666666666667,000630000010
3000,125.12222222222223,000630000015
2002,200.0,000635000000
2001,200.0,000640000000
2500,58.0,000640000010
3000,123.80000000000001,000640000015
2002,200.0,000645000000
2001,200.0,000650000000
2500,59.33333333333333,000650000010
3000,122.47777777777779,000650000015
2002,200.0,000655000000
2001,200.0,000660000000
2500,60.66666666666666,000660000010
3000,121.15555555555557,000660000015
2002,200.0,000665000000
2001,200.0,000670000000
2500,61.999999999999986,000670000010
3000,119.83333333333334,000670000015
2002,200.0,000675000000
2001,200.0,000680000000
2500,63.333333333333314,000680000010
3000,118.51111111111112,000680000015
2002,200.0,000685000000
2001,200.0,000690000000
2500,64.66666666666664,000690000010
3000,117.1888888888889,000690000015
2002,200.0,000695000000
2001,200.0,000700000000
2500,65.99999999999997,000700000010
3000,115.86666666666667,000700000015
2002,200.0,000705000000
2001,200.0,000710000000
2500,67.3333333333333,000710000010
3000,114.54444444444445,000710000015
2002,200.0,000715000000
2001,200.0,000720000000
2500,68.66666666666663,000720000010
3000,113.22222222222223,000720000015
2002,200.0,000725000000
2001,200.0,000730000000
2500,69.99999999999996,000730000010
3000,111.9,000730000015
2002,200.0,000735000000
2001,200.0,000740000000
2500,70.5172413793103,000740000010
3000,110.57777777777778,000740000015
2002,200.0,000745000000
2001,200.0,000750000000
2500,71.03448275862065,000750000010
3000,109.25555555555556,000750000015
2002,200.0,000755000000
2001,200.0,000760000000
2500,71.551724137931,000760000010
3000,107.93333333333334,000760000015
2002,200.0,000765000000
2001,200.0,000770000000
2500,72.06896551724135,000770000010
3000,106.61111111111111,000770000015
2002,200.0,000775000000
2001,200.0,000780000000
2500,72.5862068965517,000780000010
3000,105.28888888888889,000780000015
2002,200.0,000785000000
2001,200.0,000790000000
2500,73.10344827586205,000790000010
3000,103.96666666666667,000790000015
2002,200.0,000795000000
2001,200.0,000800000000
2500,73.6206896551724,000800000010
3000,102.64444444444445,000800000015
2002,200.0,000805000000
2001,200.0,000810000000
2500,74.13793103448275,000810000010
3000,101.32222222222222,000810000015
2002,200.0,000815000000
2001,200.0,000820000000
2500,74.6551724137931,000820000010
3000,100.0,000820000015
2002,200.0,000825000000
2001,200.0,000830000000
2500,75.17241379310344,000830000010
3000,100.0,000830000015
2002,200.0,000835000000
2001,200.0,000840000000
2500,75.6896551724138,000840000010
3000,100.0,000840000015
2002,200.0,000845000000
2001,200.0,000850000000
2500,76.20689655172414,000850000010
3000,100.0,000850000015
2002,200.0,000855000000
2001,200.0,000860000000
2500,76.72413793103449,000860000010
3000,100.0,000860000015
2002,200.0,000865000000
2001,200.0,000870000000
2500,77.24137931034484,000870000010
3000,100.0,000870000015
2002,200.0,000875000000
2001,200.0,000880000000
2500,77.75862068965519,000880000010
3000,100.0,000880000015
2002,200.0,000885000000
2001,200.0,000890000000
2500,78.27586206896554,000890000010
3000,100.0,000890000015
2002,200.0,000895000000
2001,200.0,000900000000
2500,78.79310344827589,000900000010
3000,100.0,000900000015
2002,200.0,000905000000
2001,200.0,000910000000
2500,79.31034482758623,000910000010
3000,100.0,000910000015
2002,200.0,000915000000
2001,200.0,000920000000
2500,79.82758620689658,000920000010
3000,100.0,000920000015
2002,200.0,000925000000
2001,200.0,000930000000
2500,80.34482758620693,000930000010
3000,100.0,000930000015
2002,200.0,000935000000
2001,200.0,000940000000
2500,80.86206896551728,000940000010
3000,100.0,000940000015
2002,200.0,000945000000
2001,204.25531914893617,000950000000
2500,81.37931034482763,000950000010
3000,100.0,000950000015
2002,200.0,000955000000
2001,208.51063829787233,000960000000
2500,81.89655172413798,000960000010
3000,100.0,000960000015
2002,200.0,000965000000
2001,212.7659574468085,000970000000
2500,82.41379310344833,000970000010
3000,100.0,000970000015
2002,200.0,000975000000
2001,217.02127659574467,000980000000
2500,82.93103448275868,000980000010
3000,102.33333333333333,000980000015
2002,200.0,000985000000
2001,221.27659574468083,000990000000
2500,83.44827586206902,000990000010
3000,104.66666666666666,000990000015
2002,200.0,000995000000
2001,225.531914893617,001000000000
2500,83.96551724137937,001000000010
3000,106.99999999999999,001000000015
2002,200.0,001005000000
2001,229.78723404255317,001010000000
2500,84.48275862068972,001010000010
3000,109.33333333333331,001010000015
2002,200.0,001015000000
2001,234.04255319148933,001020000000
2500,85.00000000000007,001020000010
3000,111.66666666666664,001020000015
2002,200.0,001025000000
2001,238.2978723404255,001030000000
2500,85.51724137931042,001030000010
3000,113.99999999999997,001030000015
2002,200.0,001035000000
2001,242.55319148936167,001040000000
2500,86.03448275862077,001040000010
3000,116.3333333333333,001040000015
2002,200.0,001045000000
2001,246.80851063829783,001050000000
2500,86.55172413793112,001050000010
3000,118.66666666666663,001050000015
2002,200.0,001055000000
2001,251.063829787234,001060000000
